user_id,gate,gamerounds_sum,retention_day,retention_week
6099,50,138,FALSE,FALSE
6123,30,0,FALSE,FALSE
6151,30,94,TRUE,TRUE
6156,50,1,FALSE,FALSE
6492,30,0,FALSE,FALSE
6664,50,26,TRUE,FALSE
6695,50,127,TRUE,FALSE
6833,50,6,FALSE,FALSE
6842,50,4,FALSE,FALSE
6924,30,21,FALSE,FALSE
6930,50,297,TRUE,TRUE
7124,50,108,TRUE,TRUE
7253,30,45,TRUE,FALSE
7321,50,33,FALSE,FALSE
7509,50,0,FALSE,FALSE
7527,30,80,FALSE,FALSE
7564,30,21,FALSE,FALSE
7582,50,3,FALSE,FALSE
7767,30,139,TRUE,TRUE
7866,30,14,FALSE,FALSE
8063,30,50,TRUE,FALSE
8254,50,14,FALSE,FALSE
8256,50,14,FALSE,FALSE
8288,30,9,FALSE,FALSE
8317,50,3,FALSE,FALSE
8379,30,0,FALSE,FALSE
8464,30,10,FALSE,FALSE
8465,50,4,FALSE,FALSE
8494,30,5,TRUE,FALSE
8644,30,2,FALSE,FALSE
8679,30,0,FALSE,FALSE
8692,30,3,TRUE,FALSE
8753,50,10,TRUE,FALSE
8788,30,19,FALSE,TRUE
8801,50,0,FALSE,FALSE
8885,50,5,FALSE,FALSE
9001,50,16,TRUE,FALSE
9308,50,95,TRUE,FALSE
9443,50,3,FALSE,FALSE
9589,30,8,FALSE,FALSE
9699,50,8,FALSE,FALSE
9828,50,1,FALSE,FALSE
9831,50,3,FALSE,FALSE
9849,50,1,FALSE,FALSE
10112,30,6,FALSE,FALSE
10200,50,106,FALSE,TRUE
10218,30,22,TRUE,FALSE
10276,50,1,FALSE,FALSE
10336,30,11,FALSE,FALSE
10476,50,4,FALSE,FALSE
10533,50,21,FALSE,FALSE
10598,50,8,FALSE,FALSE
10636,30,246,TRUE,TRUE
10637,50,0,FALSE,FALSE
10676,50,6,FALSE,FALSE
10756,30,16,FALSE,FALSE
10884,50,49,TRUE,FALSE
11093,50,54,TRUE,TRUE
11127,30,66,TRUE,TRUE
11297,30,0,FALSE,FALSE
11411,30,122,TRUE,TRUE
11420,30,75,TRUE,FALSE
11599,30,3,FALSE,FALSE
11675,50,17,FALSE,FALSE
11747,30,1,TRUE,FALSE
11840,30,24,FALSE,FALSE
11886,30,3,FALSE,FALSE
12053,30,11,TRUE,FALSE
12067,50,7,FALSE,FALSE
12163,30,47,TRUE,FALSE
12393,50,1,FALSE,FALSE
12461,50,4,FALSE,FALSE
12523,30,31,TRUE,FALSE
12558,30,13,FALSE,FALSE
12574,30,22,TRUE,FALSE
12749,30,6,TRUE,FALSE
12905,50,1,FALSE,FALSE
12951,50,2,FALSE,FALSE
12967,30,24,TRUE,FALSE
12979,30,6,FALSE,FALSE
13133,50,6,FALSE,FALSE
13216,30,24,TRUE,FALSE
13228,50,9,FALSE,FALSE
13320,50,34,FALSE,FALSE
13321,50,56,FALSE,FALSE
13376,50,12,TRUE,FALSE
13429,30,60,FALSE,TRUE
13494,50,10,TRUE,FALSE
13633,30,67,FALSE,FALSE
13664,30,42,TRUE,TRUE
13721,50,65,TRUE,FALSE
13758,30,1,FALSE,FALSE
13806,30,4,FALSE,FALSE
13856,30,3,FALSE,FALSE
13872,30,1,FALSE,FALSE
13893,50,14,FALSE,FALSE
13969,50,42,FALSE,FALSE
14143,30,13,FALSE,FALSE
14218,30,129,FALSE,TRUE
14290,50,6,TRUE,FALSE
14296,30,37,FALSE,FALSE
14381,50,9,FALSE,FALSE
14592,30,1,FALSE,FALSE
14644,50,2,FALSE,FALSE
14834,30,27,FALSE,FALSE
15157,50,38,FALSE,FALSE
15173,30,8,FALSE,FALSE
15294,30,51,TRUE,TRUE
15489,30,5,FALSE,FALSE
15597,50,2,FALSE,FALSE
15962,30,0,FALSE,FALSE
15970,50,16,TRUE,FALSE
16096,50,0,FALSE,FALSE
16145,50,7,FALSE,FALSE
16180,30,5,FALSE,FALSE
16224,50,0,FALSE,FALSE
16454,50,11,FALSE,FALSE
16504,50,0,FALSE,FALSE
16506,30,4,TRUE,FALSE
16638,50,51,TRUE,FALSE
16696,50,5,FALSE,FALSE
17085,50,33,FALSE,FALSE
17167,30,21,FALSE,FALSE
17270,30,49,TRUE,FALSE
17422,50,2,FALSE,FALSE
17461,30,1,FALSE,FALSE
17477,30,46,TRUE,TRUE
17506,50,127,TRUE,TRUE
17554,30,1,FALSE,FALSE
17814,30,14,FALSE,FALSE
17903,50,17,FALSE,FALSE
17947,30,104,TRUE,TRUE
17995,30,6,FALSE,FALSE
18013,50,21,TRUE,FALSE
18213,50,36,TRUE,FALSE
18235,30,8,FALSE,FALSE
18374,50,53,TRUE,FALSE
18731,30,1,FALSE,FALSE
18756,30,38,TRUE,TRUE
18778,30,13,FALSE,FALSE
18827,30,20,TRUE,FALSE
18849,50,74,TRUE,TRUE
18993,50,25,TRUE,FALSE
19077,30,11,FALSE,FALSE
19091,50,1,FALSE,FALSE
19474,50,2,FALSE,FALSE
19490,30,72,TRUE,FALSE
19529,50,22,FALSE,FALSE
19537,50,2,FALSE,FALSE
19593,50,18,FALSE,FALSE
19673,50,4,FALSE,FALSE
19721,50,18,FALSE,FALSE
19728,50,79,TRUE,TRUE
19746,30,65,FALSE,TRUE
19896,50,13,TRUE,FALSE
19993,30,5,TRUE,FALSE
20005,30,4,FALSE,FALSE
20052,30,8,FALSE,FALSE
20136,30,0,FALSE,FALSE
20358,50,19,FALSE,TRUE
20365,50,6,FALSE,FALSE
20465,30,108,TRUE,FALSE
20489,50,2,FALSE,FALSE
20587,50,26,FALSE,FALSE
20591,50,2,TRUE,FALSE
20721,50,99,FALSE,TRUE
20763,30,10,FALSE,FALSE
20790,50,5,TRUE,FALSE
20832,30,13,TRUE,FALSE
20940,50,1,FALSE,FALSE
21072,50,16,FALSE,FALSE
21130,50,1,FALSE,FALSE
21137,50,91,TRUE,FALSE
21228,50,149,TRUE,TRUE
21408,30,20,TRUE,FALSE
21442,50,68,TRUE,FALSE
21755,50,12,FALSE,TRUE
22069,50,7,FALSE,FALSE
22082,50,3,FALSE,FALSE
22167,50,277,TRUE,TRUE
22299,50,493,TRUE,TRUE
22398,30,4,FALSE,FALSE
22486,50,3,FALSE,FALSE
22676,50,8,FALSE,FALSE
22919,50,1,FALSE,FALSE
22935,30,274,TRUE,TRUE
22972,30,17,FALSE,FALSE
23023,50,32,FALSE,TRUE
23026,50,1,FALSE,FALSE
23084,50,85,TRUE,TRUE
23094,50,12,FALSE,FALSE
23126,50,1,FALSE,FALSE
23270,30,8,FALSE,FALSE
23333,30,9,FALSE,FALSE
23374,30,8,TRUE,FALSE
23525,50,191,TRUE,TRUE
23702,50,115,TRUE,FALSE
23748,50,45,TRUE,FALSE
24036,50,15,FALSE,FALSE
24222,30,134,TRUE,TRUE
24302,50,19,TRUE,FALSE
24328,30,2,FALSE,FALSE
24382,30,22,TRUE,FALSE
24397,30,6,FALSE,FALSE
24981,50,18,FALSE,FALSE
25047,30,0,FALSE,FALSE
25281,30,0,FALSE,FALSE
25293,50,12,FALSE,FALSE
25332,30,152,TRUE,TRUE
25466,50,2,FALSE,FALSE
25903,30,8,TRUE,FALSE
25941,50,73,TRUE,FALSE
25958,30,0,FALSE,FALSE
26083,30,100,TRUE,TRUE
26243,50,250,TRUE,TRUE
26253,30,10,FALSE,FALSE
26466,50,13,TRUE,FALSE
26502,30,147,TRUE,TRUE
26586,30,391,TRUE,FALSE
27135,30,18,FALSE,FALSE
27163,50,23,FALSE,FALSE
27605,30,19,TRUE,FALSE
27693,30,4,FALSE,FALSE
27754,30,14,FALSE,FALSE
27759,30,61,TRUE,TRUE
27849,50,61,TRUE,FALSE
27851,50,75,TRUE,FALSE
27979,30,75,FALSE,FALSE
28025,30,57,TRUE,FALSE
28091,30,35,TRUE,FALSE
28123,30,9,FALSE,FALSE
28332,30,13,FALSE,FALSE
28405,30,1,FALSE,FALSE
28433,30,20,FALSE,FALSE
28497,50,77,TRUE,TRUE
29185,50,3,FALSE,FALSE
29311,50,7,FALSE,FALSE
29317,50,6,FALSE,FALSE
29455,30,51,TRUE,TRUE
29522,50,197,FALSE,TRUE
29658,30,2,FALSE,FALSE
29677,50,22,FALSE,FALSE
29753,50,69,TRUE,FALSE
29861,50,4,FALSE,FALSE
29999,30,260,TRUE,TRUE
30039,50,20,FALSE,FALSE
30059,30,4,FALSE,FALSE
30274,30,7,TRUE,FALSE
30277,30,0,FALSE,FALSE
30343,30,8,TRUE,TRUE
30348,30,48,TRUE,TRUE
30594,50,15,TRUE,FALSE
30631,30,61,FALSE,TRUE
30868,30,1,FALSE,FALSE
30928,30,12,TRUE,FALSE
31073,30,270,TRUE,TRUE
31151,30,59,FALSE,FALSE
31200,30,141,TRUE,FALSE
31214,30,53,FALSE,TRUE
31222,50,20,FALSE,FALSE
31638,50,16,FALSE,FALSE
31691,30,0,FALSE,FALSE
31812,30,37,TRUE,FALSE
31903,30,467,TRUE,TRUE
32292,50,25,FALSE,FALSE
32403,50,2,TRUE,FALSE
32569,50,4,FALSE,FALSE
32595,50,11,TRUE,FALSE
32642,30,40,FALSE,FALSE
32730,30,9,FALSE,FALSE
32942,50,11,TRUE,TRUE
33097,30,12,FALSE,FALSE
33126,30,6,FALSE,FALSE
33189,50,9,TRUE,FALSE
33274,50,4,FALSE,FALSE
33316,50,18,TRUE,FALSE
33445,30,77,FALSE,TRUE
33489,30,4,FALSE,FALSE
33639,50,45,TRUE,FALSE
33703,50,43,TRUE,FALSE
33794,30,3,FALSE,FALSE
33954,50,30,TRUE,FALSE
33967,30,33,TRUE,TRUE
34016,50,47,TRUE,FALSE
34022,50,72,FALSE,TRUE
34027,50,16,FALSE,FALSE
34076,50,2,FALSE,FALSE
34447,50,93,TRUE,TRUE
34469,30,222,TRUE,TRUE
34597,50,334,TRUE,TRUE
34647,50,8,FALSE,FALSE
34706,30,29,TRUE,FALSE
34842,50,27,TRUE,FALSE
34859,30,16,FALSE,FALSE
34906,30,10,TRUE,FALSE
34942,50,8,FALSE,FALSE
35027,50,58,TRUE,FALSE
35056,30,84,TRUE,FALSE
35156,30,1,FALSE,FALSE
35458,50,56,FALSE,FALSE
35460,30,43,TRUE,FALSE
35730,30,50,TRUE,FALSE
35837,30,23,TRUE,FALSE
35886,30,5,FALSE,FALSE
35922,30,21,TRUE,FALSE
36003,30,48,TRUE,FALSE
36047,50,85,TRUE,TRUE
36077,30,13,TRUE,FALSE
36279,30,41,TRUE,FALSE
36280,30,5,FALSE,FALSE
36298,50,1,FALSE,FALSE
36356,30,303,TRUE,TRUE
36513,50,18,TRUE,FALSE
36560,50,48,TRUE,FALSE
36622,30,4,TRUE,FALSE
36664,50,51,FALSE,TRUE
36673,30,5,FALSE,FALSE
36761,50,134,TRUE,TRUE
36887,50,11,TRUE,FALSE
36921,30,3,FALSE,FALSE
36997,50,9,TRUE,FALSE
37155,50,3,FALSE,FALSE
37303,30,177,TRUE,TRUE
37366,50,11,TRUE,FALSE
37461,50,20,FALSE,TRUE
37740,30,39,TRUE,TRUE
37823,30,12,TRUE,FALSE
37872,30,12,TRUE,FALSE
37994,50,2,FALSE,FALSE
38151,30,9,TRUE,FALSE
38232,30,216,TRUE,TRUE
38249,50,30,TRUE,FALSE
38292,30,9,FALSE,FALSE
39069,30,227,FALSE,FALSE
39382,30,0,FALSE,FALSE
39494,30,87,TRUE,FALSE
39531,30,71,TRUE,FALSE
39774,50,567,TRUE,TRUE
39902,50,13,TRUE,FALSE
39932,30,55,TRUE,TRUE
39993,50,14,FALSE,FALSE
40233,50,78,TRUE,FALSE
40292,30,1,FALSE,FALSE
40359,30,3,FALSE,FALSE
40378,30,552,TRUE,TRUE
40427,30,96,TRUE,FALSE
40566,30,2,FALSE,FALSE
40593,30,12,TRUE,TRUE
40630,50,99,TRUE,FALSE
40653,30,107,TRUE,FALSE
40687,30,12,FALSE,FALSE
40749,50,2,FALSE,FALSE
40812,50,2,FALSE,FALSE
41112,30,4,FALSE,FALSE
41192,30,28,FALSE,FALSE
41378,50,9,FALSE,FALSE
41795,30,136,TRUE,TRUE
41842,50,15,FALSE,FALSE
41934,50,8,FALSE,FALSE
41988,50,1,FALSE,FALSE
42077,30,12,TRUE,FALSE
42316,30,6,FALSE,FALSE
42407,30,45,FALSE,TRUE
42457,30,12,FALSE,FALSE
42688,50,13,FALSE,FALSE
42703,30,9,TRUE,FALSE
42758,50,11,TRUE,FALSE
42994,50,113,TRUE,TRUE
43091,30,6,TRUE,FALSE
43368,50,32,FALSE,FALSE
43644,30,17,TRUE,FALSE
43744,30,141,TRUE,FALSE
43757,30,28,FALSE,FALSE
44400,50,95,TRUE,FALSE
44493,50,339,TRUE,TRUE
44498,30,24,TRUE,FALSE
44591,30,5,FALSE,FALSE
44670,30,6,FALSE,FALSE
44751,30,10,FALSE,FALSE
44780,30,9,FALSE,FALSE
44910,50,6,FALSE,FALSE
45066,30,85,TRUE,FALSE
45083,50,54,FALSE,FALSE
45167,30,19,FALSE,FALSE
45694,50,6,TRUE,FALSE
45698,30,452,TRUE,TRUE
45753,30,26,TRUE,FALSE
45813,50,12,TRUE,FALSE
45895,50,2,TRUE,FALSE
45896,50,11,TRUE,FALSE
45952,50,3,FALSE,FALSE
46007,30,6,FALSE,FALSE
46022,50,7,FALSE,FALSE
46347,30,57,FALSE,FALSE
46472,50,16,FALSE,FALSE
46576,30,15,FALSE,FALSE
46624,50,148,TRUE,TRUE
46629,50,57,TRUE,FALSE
46746,50,3,TRUE,FALSE
46806,30,163,TRUE,TRUE
46919,50,47,TRUE,FALSE
46938,30,54,FALSE,FALSE
47377,50,2,FALSE,FALSE
47816,30,220,TRUE,TRUE
47822,50,63,TRUE,TRUE
47990,50,25,TRUE,FALSE
48016,30,0,FALSE,FALSE
48116,30,1,FALSE,FALSE
48130,30,2,FALSE,FALSE
48201,50,84,TRUE,TRUE
48631,50,60,FALSE,FALSE
48658,30,216,TRUE,TRUE
48677,50,17,TRUE,FALSE
48942,30,290,TRUE,TRUE
48990,50,3,FALSE,FALSE
49147,50,24,TRUE,FALSE
49311,50,5,FALSE,FALSE
49330,30,18,FALSE,FALSE
49373,30,5,FALSE,FALSE
49600,30,20,FALSE,FALSE
49811,50,9,TRUE,FALSE
49995,50,15,TRUE,FALSE
50011,50,4,FALSE,FALSE
50158,50,87,TRUE,TRUE
50237,50,86,TRUE,FALSE
50339,50,0,FALSE,FALSE
50386,50,4,FALSE,FALSE
50547,30,356,FALSE,FALSE
50665,30,10,TRUE,FALSE
50686,50,3,FALSE,TRUE
50688,30,0,FALSE,FALSE
50794,50,0,FALSE,FALSE
50811,30,3,FALSE,FALSE
50850,30,34,TRUE,TRUE
51155,30,34,FALSE,FALSE
51267,30,0,FALSE,FALSE
51295,30,117,TRUE,TRUE
51310,30,23,FALSE,TRUE
51430,30,34,TRUE,FALSE
51636,50,8,FALSE,FALSE
51641,50,20,TRUE,FALSE
51823,50,54,TRUE,TRUE
51894,30,4,FALSE,FALSE
51970,50,76,FALSE,TRUE
52100,50,55,TRUE,FALSE
52177,50,3,FALSE,FALSE
52271,50,2,FALSE,FALSE
52357,30,22,TRUE,FALSE
52420,30,15,TRUE,TRUE
52636,50,3,FALSE,FALSE
53149,50,4,FALSE,FALSE
53373,50,298,TRUE,TRUE
53393,30,338,TRUE,TRUE
53450,50,1,FALSE,FALSE
53464,50,12,FALSE,FALSE
53470,50,7,FALSE,FALSE
53597,50,5,FALSE,FALSE
53638,30,16,FALSE,FALSE
53763,30,9,TRUE,FALSE
53935,50,4,FALSE,FALSE
53996,50,115,TRUE,TRUE
54069,30,170,TRUE,TRUE
54162,30,174,TRUE,TRUE
54178,30,21,FALSE,FALSE
54244,50,4,FALSE,FALSE
54256,50,6,FALSE,FALSE
54403,30,6,FALSE,FALSE
54580,30,22,FALSE,FALSE
54617,50,12,FALSE,FALSE
54680,50,2,FALSE,FALSE
54681,50,2,FALSE,FALSE
54754,30,70,TRUE,FALSE
54776,30,0,FALSE,FALSE
54975,30,3,FALSE,FALSE
55139,30,25,FALSE,FALSE
55213,50,141,TRUE,TRUE
55250,50,47,TRUE,TRUE
55480,30,1,FALSE,FALSE
55621,30,32,FALSE,FALSE
56116,50,3,FALSE,FALSE
56237,50,10,FALSE,FALSE
56269,30,2,FALSE,FALSE
56294,50,2,TRUE,FALSE
56446,30,15,FALSE,FALSE
56496,50,543,TRUE,TRUE
56522,30,10,FALSE,FALSE
56587,50,54,TRUE,FALSE
56815,30,202,TRUE,TRUE
56895,50,2,FALSE,FALSE
56997,50,41,FALSE,FALSE
57149,30,15,FALSE,FALSE
57321,30,54,FALSE,FALSE
57334,50,5,TRUE,FALSE
57339,50,22,TRUE,FALSE
57369,50,399,TRUE,TRUE
57401,30,13,TRUE,FALSE
57429,50,29,TRUE,FALSE
57516,30,38,TRUE,TRUE
57833,50,0,FALSE,FALSE
58180,50,19,TRUE,FALSE
58189,30,23,FALSE,FALSE
58289,30,237,TRUE,TRUE
58394,50,25,TRUE,FALSE
58592,50,85,TRUE,FALSE
58700,30,0,FALSE,FALSE
58768,30,11,FALSE,FALSE
58813,50,1,FALSE,FALSE
59164,30,7,TRUE,FALSE
59395,30,33,TRUE,TRUE
59531,30,18,FALSE,FALSE
60035,50,14,FALSE,FALSE
60103,50,18,FALSE,FALSE
60160,50,11,TRUE,FALSE
60410,50,26,TRUE,FALSE
60424,30,6,FALSE,FALSE
60619,50,65,TRUE,FALSE
60929,50,16,TRUE,FALSE
60956,50,17,FALSE,FALSE
60984,30,139,FALSE,TRUE
61104,30,0,FALSE,FALSE
61245,30,24,TRUE,FALSE
61462,30,23,FALSE,FALSE
61563,30,7,FALSE,FALSE
61595,50,29,FALSE,FALSE
61609,30,4,FALSE,FALSE
61651,30,3,FALSE,FALSE
61952,30,19,FALSE,FALSE
61979,30,2,FALSE,FALSE
62084,30,12,FALSE,FALSE
62145,50,1,FALSE,FALSE
62206,30,0,FALSE,FALSE
62434,30,6,FALSE,FALSE
62437,50,5,FALSE,FALSE
62566,50,67,TRUE,FALSE
62700,50,36,TRUE,TRUE
62704,50,2,FALSE,FALSE
62879,30,1,FALSE,FALSE
63001,50,33,TRUE,FALSE
63335,30,9,TRUE,FALSE
63370,30,179,TRUE,TRUE
63473,30,1,FALSE,FALSE
63478,30,202,TRUE,TRUE
63480,30,9,TRUE,FALSE
63555,50,43,FALSE,FALSE
63617,30,902,TRUE,TRUE
63766,30,6,FALSE,FALSE
63786,50,22,FALSE,FALSE
63832,30,1,FALSE,FALSE
63889,30,9,TRUE,TRUE
63962,30,4,TRUE,FALSE
64052,30,1,FALSE,FALSE
64224,50,15,FALSE,TRUE
64235,30,1,FALSE,FALSE
64309,50,125,TRUE,FALSE
64643,50,24,FALSE,FALSE
64646,50,1,FALSE,TRUE
64792,30,269,TRUE,FALSE
64849,50,31,TRUE,FALSE
64930,30,510,TRUE,FALSE
64944,50,62,FALSE,FALSE
65032,50,5,FALSE,FALSE
65452,30,16,FALSE,FALSE
65482,50,10,FALSE,FALSE
65511,30,4,FALSE,FALSE
66120,50,28,FALSE,FALSE
66509,30,46,TRUE,FALSE
66677,50,1,FALSE,FALSE
66713,50,4,FALSE,FALSE
66947,50,13,TRUE,FALSE
67078,30,9,FALSE,FALSE
67122,30,18,FALSE,FALSE
67190,50,15,FALSE,FALSE
67193,50,1,FALSE,FALSE
67234,30,3,FALSE,FALSE
67387,30,12,FALSE,FALSE
67654,50,8,FALSE,FALSE
67829,50,0,FALSE,FALSE
67910,50,18,TRUE,FALSE
67950,30,7,FALSE,FALSE
68020,50,52,FALSE,TRUE
68112,30,0,FALSE,FALSE
68151,50,136,TRUE,FALSE
68386,30,5,FALSE,FALSE
68394,50,474,TRUE,TRUE
68406,50,5,FALSE,FALSE
68485,30,26,TRUE,FALSE
68698,50,83,TRUE,FALSE
68856,30,1,FALSE,FALSE
68887,50,1,FALSE,FALSE
68915,50,121,FALSE,FALSE
68965,50,105,TRUE,TRUE
69027,50,2,FALSE,FALSE
69050,30,20,TRUE,FALSE
69392,30,46,FALSE,FALSE
69488,30,5,FALSE,FALSE
69649,50,80,TRUE,TRUE
69870,50,210,TRUE,TRUE
69917,50,16,TRUE,FALSE
69927,30,1906,TRUE,TRUE
69998,30,16,FALSE,FALSE
70074,30,0,FALSE,FALSE
70127,30,1,FALSE,FALSE
70175,50,35,TRUE,TRUE
70294,50,199,TRUE,FALSE
70522,50,6,FALSE,FALSE
70570,30,5,FALSE,FALSE
70899,50,3,FALSE,FALSE
71062,30,25,TRUE,FALSE
71119,30,118,TRUE,TRUE
71161,50,68,TRUE,FALSE
71165,50,105,TRUE,FALSE
71205,30,5,FALSE,FALSE
71235,30,38,TRUE,FALSE
71326,50,8,FALSE,FALSE
71489,30,7,FALSE,FALSE
71635,30,4,FALSE,FALSE
71698,30,6,FALSE,FALSE
71777,50,12,FALSE,FALSE
72085,50,103,TRUE,FALSE
72164,30,259,TRUE,TRUE
72353,50,5,FALSE,FALSE
72419,50,12,TRUE,FALSE
72470,50,6,TRUE,FALSE
72555,30,298,TRUE,TRUE
72614,50,3,FALSE,FALSE
72661,50,1,FALSE,FALSE
72752,50,15,FALSE,FALSE
72813,30,6,TRUE,FALSE
72872,30,10,FALSE,FALSE
72918,50,13,FALSE,FALSE
72977,50,12,TRUE,FALSE
73378,50,34,TRUE,FALSE
73412,30,3,FALSE,FALSE
73868,50,2,FALSE,FALSE
74231,30,7,FALSE,FALSE
74276,30,24,TRUE,TRUE
74369,50,7,FALSE,FALSE
74377,30,53,TRUE,FALSE
74422,50,38,FALSE,TRUE
74568,30,11,TRUE,FALSE
75029,50,98,TRUE,FALSE
75734,50,4,FALSE,FALSE
76062,30,5,FALSE,FALSE
76089,50,3,FALSE,FALSE
76133,30,50,FALSE,FALSE
76549,30,149,FALSE,TRUE
76573,30,20,TRUE,FALSE
76598,30,1,FALSE,FALSE
76662,50,30,TRUE,FALSE
76767,50,4,FALSE,FALSE
76784,50,53,TRUE,FALSE
76895,50,5,FALSE,FALSE
76917,30,113,TRUE,FALSE
76934,50,2,FALSE,FALSE
77151,50,2,FALSE,FALSE
77172,30,0,FALSE,FALSE
77195,50,25,TRUE,FALSE
77468,30,12,FALSE,FALSE
77495,50,59,FALSE,FALSE
77644,30,15,FALSE,FALSE
77731,30,106,TRUE,TRUE
77812,50,2,FALSE,FALSE
77821,50,7,FALSE,FALSE
77837,50,6,FALSE,FALSE
77850,30,59,TRUE,FALSE
78089,30,47,FALSE,FALSE
78142,50,1,FALSE,FALSE
78183,30,34,TRUE,FALSE
78237,30,4,FALSE,FALSE
78312,30,12,FALSE,FALSE
78409,30,15,TRUE,FALSE
78563,50,32,FALSE,FALSE
78846,30,0,FALSE,FALSE
78900,30,2,FALSE,FALSE
79646,50,34,TRUE,FALSE
79890,30,11,FALSE,FALSE
79929,50,16,FALSE,FALSE
80215,50,2,FALSE,FALSE
80282,30,128,TRUE,TRUE
80485,50,9,FALSE,FALSE
80496,50,0,FALSE,FALSE
80526,30,34,FALSE,TRUE
80582,50,7,FALSE,FALSE
80618,50,7,FALSE,FALSE
80634,50,215,TRUE,TRUE
80746,30,1,FALSE,FALSE
80754,50,0,FALSE,FALSE
80860,50,231,TRUE,FALSE
80884,30,5,FALSE,FALSE
80900,50,16,FALSE,FALSE
81447,30,34,FALSE,FALSE
81480,50,2,FALSE,FALSE
81524,30,34,TRUE,FALSE
81532,30,2,FALSE,FALSE
81668,50,12,FALSE,FALSE
81959,50,6,FALSE,FALSE
82064,30,41,TRUE,FALSE
82545,50,36,FALSE,FALSE
82655,50,13,FALSE,FALSE
82753,30,3,FALSE,FALSE
82783,50,36,TRUE,TRUE
82937,50,28,FALSE,FALSE
83072,30,11,TRUE,FALSE
83080,50,12,FALSE,FALSE
83103,30,7,FALSE,FALSE
83140,50,14,FALSE,FALSE
83254,30,3,TRUE,FALSE
83309,50,0,FALSE,FALSE
83317,50,5,FALSE,FALSE
83438,50,129,TRUE,TRUE
83732,50,95,FALSE,TRUE
83798,50,96,TRUE,FALSE
84100,30,160,TRUE,FALSE
84191,30,0,FALSE,FALSE
84208,50,17,FALSE,FALSE
84406,50,24,TRUE,FALSE
84816,50,11,TRUE,FALSE
84929,50,6,FALSE,FALSE
84961,50,26,FALSE,FALSE
85007,50,110,TRUE,TRUE
85277,30,61,TRUE,TRUE
85560,30,5,FALSE,FALSE
85601,30,15,FALSE,FALSE
85805,50,3,FALSE,FALSE
86342,30,12,FALSE,FALSE
86781,50,1,FALSE,FALSE
86821,50,65,TRUE,FALSE
87098,50,2,FALSE,FALSE
87220,50,18,FALSE,FALSE
87258,50,275,TRUE,TRUE
87276,30,19,FALSE,TRUE
87410,30,26,FALSE,FALSE
87419,30,46,FALSE,FALSE
87509,50,3,FALSE,FALSE
87542,30,40,TRUE,FALSE
87640,50,13,FALSE,FALSE
87649,50,8,FALSE,FALSE
87671,50,2,FALSE,FALSE
87697,50,3,FALSE,FALSE
87728,50,4,FALSE,FALSE
87827,30,37,TRUE,FALSE
88235,50,11,FALSE,FALSE
88282,30,22,TRUE,FALSE
88361,50,55,FALSE,TRUE
88392,30,20,TRUE,FALSE
88497,30,197,TRUE,TRUE
88521,50,44,FALSE,FALSE
88907,30,133,TRUE,FALSE
89272,50,0,FALSE,FALSE
89605,50,2,FALSE,FALSE
89618,30,21,FALSE,FALSE
90120,30,2,FALSE,FALSE
90233,30,5,FALSE,FALSE
90335,50,2,FALSE,FALSE
90481,50,14,FALSE,FALSE
90566,30,0,FALSE,FALSE
90640,30,44,FALSE,TRUE
90744,30,14,FALSE,FALSE
90755,30,76,TRUE,FALSE
90892,30,52,TRUE,FALSE
90916,50,88,TRUE,TRUE
90979,30,36,TRUE,FALSE
90992,50,66,TRUE,FALSE
